(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0): 0.34438075875418983
(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0): 0.503884053603853
(0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0): 0.5870508589275382
(0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0): 0.5
(0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0): 0.5
(0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0): 0.5
(2.0, 0.0, 2.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0): 0.45
(2.0, 0.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0): 0
(0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0): 0.4600807091448356
(0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0): 0.5
(0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0): 0.5
(0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 1.0): 0.5
(0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0): 0.45
(0.0, 0.0, 1.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0): 0
(1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0): 0.5
(1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0): 0.4955
(1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0): 0.45
(1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0): 0.5
(1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0): 0.5
(1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0): 0.45
(1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0): 0
(0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0): 0.5118857124985989
(2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0): 0.5
(2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0): 0.500405
